nucli_id,codi_programa,nom,sigles_ud,tipus
1772,666,SISTEMES ELECTRÒNICS PEL DISSENY,SEDI-D5O10,OB
1771,1339,XARXES SENSE FIL: TECNOLOGIES I APLICACIONS,XASF,OP
1770,1339,PROCESSAMENT I EXPLOTACIÓ DE DADES TEXTUALS,PEDT,OP
1759,666,MÀRQUETING I PRODUCCIÓ,MARK-D7O32,OB
1756,1339,XARXES MULTIMÈDIA,XAMU-C9X44,OB
1749,1339,SEGURETAT I ADMINISTRACIÓ DE XARXES,SEAX-C9X44,OB
1735,1339,XARXES DE COMPUTADORS,XACO-C4O44,OB
1729,1339,ESTADÍSTICA,ESTA-C3O43,OB
1726,1339,EMPRESA,EMPR-C3O32,OB
1711,1339,MINERIA DE DADES,MIDA-I7P23,OP
1707,1339,DISSENY I ADMINISTRACIÓ DE BASES DE DADES,DABD-I7P23,OB
1705,1339,PROGRAMACIÓ MULTIPLATAFORMA I DISTRIBUÏDA,PMUD-I7P23,OP
1704,683,PROGRAMACIÓ MULTIPLATAFORMA I DISTRIBUÏDA,PMUD-I7P23,OP
1703,682,PROGRAMACIÓ MULTIPLATAFORMA I DISTRIBUÏDA,PMUD-I7P23,OP
1702,681,PROGRAMACIÓ MULTIPLATAFORMA I DISTRIBUÏDA,PMUD-I7P23,OP
1700,1339,INTRODUCCIÓ ALS COMPUTADORS,INCO-I1O01,OB
1698,1339,DESENVOLUPAMENT D'APLICACIONS MÒBILS,DAMO-I7P23,OP
1690,1339,PROJECTE DE TECNOLOGIES DE LA INFORMACIÓ,PTIN-I6O01,OB
1688,1339,PARAL·LELISME I CONCURRÈNCIA,PACO-I5O01,OB
1686,1339,SISTEMES OPERATIUS DISTRIBUÏTS I EN XARXA,SODX-I5O01,OB
1684,1339,ADMINISTRACIÓ DE SISTEMES OPERATIUS,ADSO-I5O01,OB
1682,1339,FONAMENTS DE PROGRAMACIÓ,FOPR-I1O23,OB
1680,1339,PROJECTE DE PROGRAMACIÓ,PROP-I4O23,OB
1678,1339,AMPLIACIÓ A L'ENGINYERIA DEL PROGRAMARI,AMEP-I4O23,OB
1676,1339,ARQUITECTURA DE COMPUTADORS,ARCO-I4O01,OB
1674,1339,SISTEMES OPERATIUS,SIOP-I4O01,OB
1672,1339,INTRODUCCIÓ A L'ENGINYERIA DEL PROGRAMARI,INEP-I3O23,OB
1670,1339,ESTRUCTURA DE COMPUTADORS II,ESC2-I3O01,OB
1668,1339,ESTRUCTURA DE LA INFORMACIÓ,ESIN-I3O23,OB
1667,681,PRÀCTICA EN TERCERA LLENGUA,PRTL-O8P36,OP
1666,666,PRÀCTICA EN TERCERA LLENGUA,PRTL-O8P36,OP
1665,683,PRÀCTICA EN TERCERA LLENGUA,PRTL-O8P36,OP
1663,682,PRÀCTICA EN TERCERA LLENGUA,PRTL-O8P36,OP
1659,1339,PRÀCTICA EN TERCERA LLENGUA,PRTL-O8P36,OP
1653,1339,FONAMENTS MATEMÀTICS,FOMA-I1O43,OB
1583,682,DISSENY I SIMULACIÓ ASSISTITS PER ORDINADOR,DSAO-M6O17,OB
1580,682,ENGINYERIA DE FLUIDS,ENFL-M6O29,OB
1577,682,ESTRUCTURES I CONSTRUCCIONS INDUSTRIALS,ESCI-M6O37,OB
1574,682,ENGINYERIA TÈRMICA,ETER-M6O29,OB
1569,682,DISSENY DE MÀQUINES,DIMA-M6O12,OB
1566,682,PROCESSOS DE FABRICACIÓ,PRFA-M4O12,OB
1563,682,RESISTÈNCIA DELS MATERIALS I,RMA1-M4O37,OB
1558,682,MATERIALS ESTRUCTURALS,MAES-M5O02,OB
1553,682,RESISTÈNCIA DELS MATERIALS II,RMA2-M5O37,OB
1548,682,TEORIA DE MÀQUINES,TEMA-M5O12,OB
1539,682,MÀQUINES TÈRMIQUES I HIDRÀULIQUES,MATH-M7P29,OP
1537,682,DISSENY DE MÀQUINES ASSISTIT PER ORDINADOR,DMAO-M7P12,OP
1534,683,SISTEMES D'INSTRUMENTACIÓ,SIIN-K7P10,OP
1529,683,SISTEMES DISTRIBUÏTS INDUSTRIALS,SDIN-K7P07,OP
1527,683,SISTEMES DE PRODUCCIÓ INTEGRATS,SIPI-K7P07,OP
1526,683,REGULACIÓ AUTOMÀTICA,REAU-K5O07,OB
1524,683,INSTRUMENTACIÓ ELECTRÒNICA,INEL-K6O10,OB
1521,683,SISTEMES DIGITALS,SIDI-K5O10,OB
1518,683,ELECTRÒNICA DE POTÈNCIA,ELPO-K6O10,OB
1516,683,ELECTRÒNICA DIGITAL,ELDI-K4O10,OB
1513,683,INFORMÀTICA INDUSTRIAL,ININ-K6O07,OB
1510,683,ELECTROTÈCNIA,ELEC-K4O09,OB
1507,683,AUTOMATITZACIÓ INDUSTRIAL,AUIN-K5O07,OB
1506,682,AUTOMATITZACIÓ INDUSTRIAL,AUIN-K5O07,OP
1505,1339,AUTOMATITZACIÓ INDUSTRIAL,AUIN-K5O07,OP
1504,681,AUTOMATITZACIÓ INDUSTRIAL,AUIN-K5O07,OP
1491,681,VEHICLES ELÈCTRICS I HÍBRIDS,VEEH-E7P09,OP
1490,683,VEHICLES ELÈCTRICS I HÍBRIDS,VEEH-E7P09,OP
